Company_Name,Section_1,Section_2,Section_3,Section_4,Section_5,Section_6,Section_7,Section_8,Section_9,Section_10,TRAC_Index,Bands,Company_Sector
Enel,0.7,0.94,0.78,0.8,,0.83,,0.3,0.31,0.75,0.68,soddisfacente,Energia
Ast,0.9,0.88,0.67,0.65,0.67,1.0,,0.9,0.88,0.75,0.81,eccellente,Altri settori
Edison,1.0,0.94,0.83,0.85,0.5,0.58,,0.7,0.94,0.75,0.79,eccellente,Energia
Falk,1.0,0.88,0.89,0.75,0.5,0.83,,0.6,0.75,1.0,0.8,eccellente,Energia
Fastweb,0.7,0.88,0.89,0.65,0.67,0.58,0.2,0.8,0.88,1.0,0.72,soddisfacente,Telefonia
Generali,1.0,0.82,0.78,0.75,0.67,0.83,,0.7,0.56,0.75,0.76,eccellente,Finanziario
Luxotica,0.7,0.94,0.83,0.6,0.42,0.58,0.6,0.4,0.75,0.75,0.66,soddisfacente,Fashion
Pirelli,0.9,0.76,0.83,0.7,0.33,0.33,,0.6,0.56,1.0,0.67,soddisfacente,Altri settori
Rina,1.0,0.76,0.56,0.85,0.5,1.0,,0.2,0.5,0.75,0.68,soddisfacente,Altri settori
Saes,0.6,0.41,0.67,0.7,0.42,0.33,0.2,1.0,0.25,0.25,0.48,poco soddisfacente,Altri settori
Snam,1.0,1.0,0.89,0.6,0.42,0.58,,0.7,1.0,1.0,0.8,eccellente,Energia
Tim,1.0,1.0,0.89,0.65,0.67,0.83,,0.6,0.94,0.75,0.81,eccellente,Telefonia
Unicredit,0.9,0.88,0.78,0.7,0.67,0.83,0.6,0.5,0.75,0.75,0.74,soddisfacente,Finanziario
Vodafone,1.0,0.88,0.89,0.85,0.92,1.0,,1.0,1.0,1.0,0.95,eccellente,Telefonia
Averages,0.65,0.75,0.68,0.53,0.38,0.61,0.18,0.41,0.47,0.37,0.53,soddisfacente,
